,PM10_1
2131,52.0
2132,51.0
2133,54.0
2134,53.0
2135,55.0
2136,51.0
2137,51.0
2138,52.0
2139,52.0
2140,52.0
2141,53.0
2142,54.0
2143,55.0
2144,61.0
2145,71.0
2146,77.0
2147,83.0
2148,79.0
2149,70.0
2150,59.0
2151,72.0
2152,83.0
2153,92.0
2154,83.0
2155,81.0
2156,56.0
2157,43.0
2158,38.0
2159,36.0
2160,40.0
2161,51.0
2162,52.0
2163,44.0
2164,32.0
2165,31.0
2166,31.0
2167,33.0
2168,25.0
2169,23.0
2170,20.0
2171,26.0
2172,22.0
2173,22.0
2174,20.0
2175,24.0
2176,26.0
2177,23.0
2178,24.0
2179,31.0
2180,28.0
2181,29.0
2182,23.0
2183,21.0
2184,20.0
2185,22.0
2186,24.0
2187,25.0
2188,28.0
2189,24.0
2190,23.0
2191,22.0
2192,17.0
2193,20.0
2194,20.0
2195,23.0
2196,21.0
2197,22.0
2198,26.0
2199,29.0
2200,24.0
2201,25.0
2202,26.0
2203,27.0
2204,20.0
2205,20.0
2206,20.0
2207,24.0
2208,25.0
2209,27.0
2210,23.0
2211,24.0
2212,26.0
2213,27.0
2214,30.0
2215,33.0
2216,35.0
2217,44.0
2218,42.0
2219,36.0
2220,29.0
2221,30.0
2222,33.0
2223,26.0
2224,28.0
2225,27.0
2226,27.0
2227,27.0
2228,26.0
2229,28.0
2230,32.0
2231,25.0
2232,29.0
2233,24.0
2234,20.0
2235,19.0
2236,21.0
2237,19.0
2238,21.0
2239,18.0
2240,25.0
2241,22.0
2242,25.0
2243,29.0
2244,43.0
2245,44.0
2246,48.0
2247,57.0
2248,57.0
2249,48.0
2250,55.0
2251,62.0
2252,65.0
2253,65.0
2254,66.0
2255,52.0
2256,48.0
2257,46.0
2258,48.0
2259,49.0
2260,47.0
2261,47.0
2262,44.0
2263,39.0
2264,36.0
2265,22.0
2266,24.0
2267,26.0
2268,27.0
2269,28.0
2270,29.0
2271,32.0
2272,38.0
2273,34.0
2274,36.0
2275,34.0
2276,36.0
2277,33.0
2278,36.0
2279,32.0
2280,31.0
2281,33.0
2282,38.0
2283,36.0
2284,38.0
2285,37.0
2286,40.0
2287,44.0
2288,46.0
2289,48.0
2290,35.0
2291,39.0
2292,44.0
2293,46.0
2294,44.0
2295,43.0
2296,40.0
2297,40.0
2298,46.0
2299,48.0
2300,49.0
2301,46.0
2302,47.0
2303,39.0
2304,45.0
2305,43.0
2306,44.0
2307,38.0
2308,34.0
2309,28.0
2310,30.0
2311,36.0
2312,35.0
2313,38.92593020568523
2314,38.92593020568523
2315,30.0
2316,25.0
2317,23.0
2318,25.0
2319,22.0
2320,19.0
2321,17.0
2322,17.0
2323,14.0
2324,20.0
2325,20.0
2326,20.0
2327,20.0
2328,23.0
2329,20.0
2330,19.0
2331,19.0
2332,21.0
2333,24.0
2334,25.0
2335,28.0
2336,33.0
2337,38.0
2338,28.0
2339,11.0
2340,23.0
2341,28.0
2342,32.0
2343,32.0
2344,32.0
2345,38.92593020568523
2346,33.0
2347,25.0
2348,33.0
2349,42.0
2350,60.0
2351,54.0
2352,72.0
2353,54.0
2354,47.0
2355,46.0
2356,49.0
2357,44.0
2358,45.0
2359,44.0
2360,50.0
2361,44.0
2362,41.0
2363,34.0
2364,48.0
2365,38.92593020568523
2366,38.92593020568523
2367,38.92593020568523
2368,38.92593020568523
2369,38.92593020568523
2370,17.0
2371,14.0
2372,18.0
2373,15.0
2374,15.0
2375,16.0
2376,21.0
2377,22.0
2378,26.0
2379,24.0
2380,23.0
2381,20.0
2382,23.0
2383,24.0
2384,27.0
2385,26.0
2386,23.0
2387,18.0
2388,17.0
2389,20.0
2390,20.0
2391,19.0
2392,17.0
2393,15.0
2394,18.0
2395,20.0
2396,17.0
2397,19.0
2398,20.0
2399,20.0
2400,25.0
2401,24.0
2402,25.0
2403,25.0
2404,25.0
2405,26.0
2406,27.0
2407,27.0
2408,33.0
2409,36.0
2410,28.0
2411,27.0
2412,29.0
2413,33.0
2414,29.0
2415,22.0
2416,21.0
2417,24.0
2418,26.0
2419,22.0
2420,24.0
2421,26.0
2422,25.0
2423,28.0
2424,29.0
2425,30.0
2426,30.0
2427,32.0
2428,34.0
2429,33.0
2430,34.0
2431,39.0
2432,48.0
2433,48.0
2434,43.0
2435,41.0
2436,44.0
2437,40.0
2438,37.0
2439,33.0
2440,32.0
2441,26.0
2442,31.0
2443,36.0
2444,42.0
2445,36.0
2446,39.0
2447,39.0
2448,43.0
2449,39.0
2450,41.0
2451,40.0
2452,42.0
2453,46.0
2454,49.0
2455,51.0
2456,59.0
2457,62.0
2458,72.0
2459,62.0
2460,47.0
2461,48.0
2462,46.0
2463,43.0
2464,43.0
2465,39.0
2466,44.0
2467,44.0
2468,49.0
2469,43.0
2470,50.0
2471,56.0
2472,59.0
2473,51.0
2474,56.0
2475,52.0
2476,56.0
2477,52.0
2478,57.0
2479,60.0
2480,72.0
2481,73.0
2482,73.0
2483,71.0
2484,64.0
2485,60.0
2486,73.0
2487,71.0
2488,79.0
2489,82.0
2490,85.0
2491,85.0
2492,84.0
2493,79.0
2494,77.0
2495,79.0
2496,83.0
2497,78.0
2498,81.0
2499,78.0
2500,82.0
2501,83.0
2502,89.0
2503,97.0
2504,117.0
2505,127.0
2506,142.0
2507,138.0
2508,141.0
2509,128.0
2510,111.0
2511,104.0
2512,103.0
2513,104.0
2514,106.0
2515,135.0
2516,178.0
2517,204.0
2518,192.0
2519,123.0
2520,97.0
2521,82.0
2522,75.0
2523,70.0
2524,68.0
2525,70.0
2526,72.0
2527,82.0
2528,83.0
2529,65.0
2530,52.0
2531,55.0
2532,58.0
2533,59.0
2534,68.0
2535,78.0
2536,81.0
2537,75.0
2538,81.0
2539,84.0
2540,88.0
2541,84.0
2542,83.0
2543,81.0
2544,80.0
2545,76.0
2546,77.0
2547,72.0
2548,72.0
2549,71.0
2550,73.0
2551,75.0
2552,75.0
2553,79.0
2554,70.0
2555,55.0
2556,65.0
2557,80.0
2558,114.0
2559,116.0
2560,110.0
2561,99.0
2562,87.0
2563,65.0
2564,66.0
2565,68.0
2566,76.0
2567,78.0
2568,80.0
2569,77.0
2570,78.0
2571,73.0
2572,72.0
2573,65.0
2574,66.0
2575,61.0
2576,66.0
2577,64.0
2578,61.0
2579,50.0
2580,44.0
2581,47.0
2582,36.0
2583,40.0
2584,35.0
2585,31.0
2586,23.0
2587,19.0
2588,16.0
2589,17.0
2590,17.0
2591,18.0
2592,18.0
2593,19.0
2594,20.0
2595,21.0
2596,21.0
2597,21.0
2598,21.0
2599,19.0
2600,22.0
2601,17.0
2602,16.0
2603,21.0
2604,24.0
2605,22.0
2606,23.0
2607,21.0
2608,19.0
2609,18.0
2610,20.0
2611,23.0
2612,21.0
2613,22.0
2614,20.0
2615,19.0
2616,20.0
2617,24.0
2618,26.0
2619,25.0
2620,27.0
2621,30.0
2622,35.0
2623,44.0
2624,46.0
2625,54.0
2626,70.0
2627,54.0
2628,44.0
2629,43.0
2630,44.0
2631,36.0
2632,32.0
2633,32.0
2634,35.0
2635,32.0
2636,27.0
2637,25.0
2638,25.0
2639,22.0
2640,23.0
2641,21.0
2642,22.0
2643,22.0
2644,25.0
2645,27.0
2646,28.0
2647,35.0
2648,40.0
2649,41.0
2650,44.0
2651,44.0
2652,31.0
2653,36.0
2654,47.0
2655,35.0
2656,39.0
2657,48.0
2658,49.0
2659,46.0
2660,43.0
2661,39.0
2662,37.0
2663,37.0
2664,38.0
2665,39.0
2666,43.0
2667,38.0
2668,36.0
2669,36.0
2670,34.0
2671,31.0
2672,36.0
2673,41.0
2674,49.0
2675,47.0
2676,48.0
2677,55.0
2678,56.0
2679,57.0
2680,62.0
2681,65.0
2682,69.0
2683,58.0
2684,57.0
2685,60.0
2686,59.0
2687,49.0
2688,49.0
2689,46.0
2690,49.0
2691,45.0
2692,48.0
2693,46.0
2694,45.0
2695,44.0
2696,49.0
2697,51.0
2698,54.0
2699,50.0
2700,50.0
2701,50.0
2702,45.0
2703,42.0
2704,41.0
2705,40.0
2706,39.0
2707,35.0
2708,36.0
2709,37.0
2710,36.0
2711,34.0
2712,32.0
2713,32.0
2714,38.0
2715,48.0
2716,86.0
2717,96.0
2718,93.0
2719,64.0
2720,37.0
2721,31.0
2722,35.0
2723,37.0
2724,39.0
2725,45.0
2726,43.0
2727,43.0
2728,39.0
2729,34.0
2730,38.0
2731,37.0
2732,40.0
2733,37.0
2734,36.0
2735,32.0
2736,28.0
2737,21.0
2738,18.0
2739,13.0
2740,13.0
2741,10.0
2742,10.0
2743,9.0
2744,9.0
2745,9.0
2746,9.0
2747,9.0
2748,8.0
2749,6.0
2750,9.0
2751,8.0
2752,10.0
2753,6.0
2754,8.0
2755,5.0
2756,4.0
2757,3.0
2758,5.0
2759,5.0
2760,7.0
2761,7.0
2762,9.0
2763,11.0
2764,11.0
2765,13.0
2766,14.0
2767,14.0
2768,38.92593020568523
2769,11.0
2770,9.0
2771,9.0
2772,11.0
2773,12.0
2774,17.0
2775,17.0
2776,14.0
2777,14.0
2778,23.0
2779,26.0
2780,22.0
2781,18.0
2782,23.0
2783,23.0
2784,21.0
2785,18.0
2786,20.0
2787,19.0
2788,20.0
2789,17.0
2790,19.0
2791,19.0
2792,21.0
2793,18.0
2794,13.0
2795,17.0
2796,16.0
2797,19.0
2798,23.0
2799,28.0
2800,32.0
2801,33.0
2802,39.0
2803,45.0
2804,44.0
2805,46.0
2806,45.0
2807,40.0
2808,40.0
2809,32.0
2810,32.0
2811,28.0
2812,24.0
2813,31.0
2814,55.0
2815,55.0
2816,52.0
2817,31.0
2818,28.0
2819,41.0
2820,59.0
2821,68.0
2822,66.0
2823,45.0
2824,30.0
2825,29.0
2826,32.0
2827,33.0
2828,37.0
2829,39.0
2830,44.0
2831,49.0
2832,55.0
2833,59.0
2834,56.0
2835,53.0
2836,51.0
2837,48.0
2838,45.0
2839,38.0
2840,31.0
2841,26.0
2842,20.0
2843,24.0
2844,38.92593020568523
2845,38.92593020568523
2846,36.0
2847,34.0
2848,35.0
2849,38.0
2850,38.0
2851,34.0
2852,35.0
2853,34.0
2854,34.0
2855,36.0
2856,37.0
2857,36.0
2858,38.0
2859,36.0
2860,36.0
2861,37.0
2862,38.0
2863,48.0
2864,53.0
2865,40.0
2866,34.0
2867,37.0
2868,37.0
2869,32.0
2870,27.0
2871,26.0
2872,27.0
2873,25.0
2874,24.0
2875,22.0
2876,25.0
2877,27.0
2878,31.0
2879,30.0
2880,31.0
2881,27.0
2882,28.0
2883,25.0
2884,26.0
2885,22.0
2886,19.0
2887,20.0
2888,13.0
2889,12.0
2890,17.0
2891,25.0
2892,31.0
2893,27.0
2894,30.0
2895,29.0
2896,24.0
2897,22.0
2898,21.0
2899,23.0
2900,23.0
2901,26.0
2902,30.0
2903,28.0
2904,30.0
2905,32.0
2906,31.0
2907,32.0
2908,34.0
2909,33.0
2910,39.0
2911,48.0
2912,38.0
2913,42.0
2914,55.0
2915,75.0
2916,102.0
2917,74.0
2918,55.0
2919,55.0
2920,52.0
2921,56.0
2922,62.0
2923,62.0
2924,64.0
2925,68.0
2926,66.0
2927,62.0
2928,58.0
2929,52.0
2930,50.0
2931,51.0
2932,55.0
2933,53.0
2934,48.0
2935,49.0
2936,51.0
2937,49.0
2938,48.0
2939,50.0
2940,51.0
2941,52.0
2942,57.0
2943,57.0
2944,60.0
2945,61.0
2946,66.0
2947,62.0
2948,60.0
2949,59.0
2950,59.0
2951,54.0
2952,55.0
2953,50.0
2954,46.0
2955,46.0
2956,46.0
2957,47.0
2958,49.0
2959,51.0
2960,49.0
2961,55.0
2962,61.0
2963,75.0
2964,92.0
2965,105.0
2966,101.0
2967,111.0
2968,125.0
2969,126.0
2970,104.0
2971,79.0
2972,63.0
2973,49.0
2974,52.0
2975,40.0
2976,25.0
2977,22.0
2978,20.0
2979,27.0
2980,36.0
2981,36.0
2982,35.0
2983,31.0
2984,34.0
2985,31.0
2986,27.0
2987,30.0
2988,35.0
2989,32.0
2990,37.0
2991,40.0
2992,39.0
2993,36.0
2994,35.0
2995,32.0
2996,32.0
2997,26.0
2998,25.0
2999,26.0
3000,26.0
3001,27.0
3002,29.0
3003,28.0
3004,30.0
3005,31.0
3006,35.0
3007,35.0
3008,33.0
3009,28.0
3010,54.0
3011,32.0
3012,39.0
3013,36.0
3014,34.0
3015,33.0
3016,35.0
3017,36.0
3018,37.0
3019,36.0
3020,32.0
3021,28.0
3022,30.0
3023,47.0
3024,52.0
3025,39.0
3026,29.0
3027,25.0
3028,26.0
3029,24.0
3030,26.0
3031,25.0
3032,23.0
3033,24.0
3034,23.0
3035,17.0
3036,16.0
3037,15.0
3038,18.0
3039,24.0
3040,26.0
3041,23.0
3042,21.0
3043,19.0
3044,17.0
3045,21.0
3046,23.0
3047,20.0
3048,25.0
3049,24.0
3050,28.0
3051,27.0
3052,28.0
3053,28.0
3054,26.0
3055,32.0
3056,38.0
3057,36.0
3058,46.0
3059,42.0
3060,39.0
3061,36.0
3062,37.0
3063,28.0
3064,30.0
3065,26.0
3066,24.0
3067,23.0
3068,24.0
3069,25.0
3070,25.0
3071,24.0
3072,23.0
3073,22.0
3074,21.0
3075,23.0
3076,24.0
3077,26.0
3078,30.0
3079,34.0
3080,42.0
3081,56.0
3082,64.0
3083,82.0
3084,108.0
3085,115.0
3086,120.0
3087,116.0
3088,118.0
3089,116.0
3090,112.0
3091,104.0
3092,108.0
3093,109.0
3094,117.0
3095,119.0
3096,134.0
3097,132.0
3098,141.0
3099,132.0
3100,134.0
3101,138.0
3102,137.0
3103,117.0
3104,115.0
3105,114.0
3106,107.0
3107,84.0
3108,58.0
3109,37.0
3110,29.0
3111,27.0
3112,23.0
3113,15.0
3114,18.0
3115,25.0
3116,35.0
3117,38.0
3118,42.0
3119,35.0
3120,37.0
3121,37.0
3122,35.0
3123,31.0
3124,29.0
3125,27.0
3126,28.0
3127,30.0
3128,31.0
3129,28.0
3130,26.0
3131,21.0
3132,23.0
3133,23.0
3134,25.0
3135,25.0
3136,21.0
3137,18.0
3138,21.0
3139,21.0
3140,24.0
3141,25.0
3142,29.0
3143,27.0
3144,26.0
3145,25.0
3146,23.0
3147,25.0
3148,25.0
3149,25.0
3150,25.0
3151,26.0
3152,29.0
3153,25.0
3154,29.0
3155,27.0
3156,26.0
3157,18.0
3158,17.0
3159,20.0
3160,15.0
3161,21.0
3162,19.0
3163,19.0
3164,19.0
3165,18.0
3166,20.0
3167,20.0
3168,24.0
3169,25.0
3170,23.0
3171,25.0
3172,30.0
3173,29.0
3174,33.0
3175,37.0
3176,40.0
3177,41.0
3178,40.0
3179,42.0
3180,45.0
3181,41.0
3182,40.0
3183,40.0
3184,40.0
3185,40.0
3186,40.0
3187,42.0
3188,45.0
3189,43.0
3190,48.0
3191,51.0
3192,57.0
3193,57.0
3194,55.0
3195,56.0
3196,55.0
3197,57.0
3198,63.0
3199,65.0
3200,71.0
3201,78.0
3202,82.0
3203,79.0
3204,81.0
3205,69.0
3206,70.0
3207,69.0
3208,89.0
3209,89.0
3210,95.0
3211,87.0
3212,92.0
3213,86.0
3214,87.0
3215,84.0
3216,87.0
3217,80.0
3218,81.0
3219,75.0
3220,77.0
3221,77.0
3222,79.0
3223,79.0
3224,83.0
3225,82.0
3226,90.0
3227,73.0
3228,78.0
3229,76.0
3230,78.0
3231,78.0
3232,91.0
3233,98.0
3234,113.0
3235,109.0
3236,106.0
3237,94.0
3238,89.0
3239,83.0
3240,83.0
3241,77.0
3242,81.0
3243,83.0
3244,92.0
3245,93.0
3246,94.0
3247,98.0
3248,95.0
3249,89.0
3250,94.0
3251,74.0
3252,68.0
3253,71.0
3254,94.0
3255,97.0
3256,96.0
3257,84.0
3258,85.0
3259,82.0
3260,86.0
3261,82.0
3262,80.0
3263,71.0
3264,74.0
3265,69.0
3266,72.0
3267,72.0
3268,75.0
3269,68.0
3270,72.0
3271,68.0
3272,72.0
3273,80.0
3274,78.0
3275,77.0
3276,97.0
3277,88.0
3278,88.0
3279,95.0
3280,113.0
3281,118.0
3282,119.0
3283,114.0
3284,113.0
3285,114.0
3286,125.0
3287,128.0
3288,127.0
3289,122.0
3290,113.0
3291,93.0
3292,88.0
3293,65.0
3294,34.0
3295,37.0
3296,38.0
3297,35.0
3298,34.0
3299,33.0
3300,31.0
3301,30.0
3302,28.0
3303,25.0
3304,29.0
3305,31.0
3306,29.0
3307,25.0
3308,24.0
3309,21.0
3310,21.0
3311,20.0
3312,21.0
3313,22.0
3314,22.0
3315,21.0
3316,19.0
3317,23.0
3318,25.0
3319,27.0
3320,29.0
3321,38.92593020568523
3322,38.92593020568523
3323,26.0
3324,25.0
3325,23.0
3326,24.0
3327,19.0
3328,16.0
3329,27.0
3330,24.0
3331,22.0
3332,24.0
3333,36.0
3334,42.0
3335,37.0
3336,40.0
3337,39.0
3338,40.0
3339,41.0
3340,45.0
3341,49.0
3342,55.0
3343,52.0
3344,54.0
3345,55.0
3346,63.0
3347,59.0
3348,56.0
3349,43.0
3350,43.0
3351,34.0
3352,31.0
3353,32.0
3354,43.0
3355,36.0
3356,33.0
3357,32.0
3358,29.0
3359,29.0
3360,32.0
3361,29.0
3362,28.0
3363,29.0
3364,29.0
3365,31.0
3366,36.0
3367,51.0
3368,57.0
3369,57.0
3370,52.0
3371,49.0
3372,52.0
3373,53.0
3374,56.0
3375,56.0
3376,51.0
3377,47.0
3378,43.0
3379,47.0
3380,49.0
3381,46.0
3382,49.0
3383,45.0
3384,42.0
3385,41.0
3386,40.0
3387,44.0
3388,43.0
3389,46.0
3390,46.0
3391,51.0
3392,46.0
3393,43.0
3394,43.0
3395,45.0
3396,48.0
3397,50.0
3398,50.0
3399,46.0
3400,43.0
3401,47.0
3402,48.0
3403,48.0
3404,49.0
3405,49.0
3406,53.0
3407,55.0
3408,57.0
3409,59.0
3410,63.0
3411,66.0
3412,75.0
3413,85.0
3414,95.0
3415,109.0
3416,125.0
3417,117.0
3418,105.0
3419,71.0
3420,62.0
3421,58.0
3422,60.0
3423,57.0
3424,41.0
3425,40.0
3426,51.0
3427,58.0
3428,53.0
3429,56.0
3430,69.0
3431,73.0
3432,72.0
3433,85.0
3434,92.0
3435,88.0
3436,88.0
3437,89.0
3438,96.0
3439,99.0
3440,90.0
3441,84.0
3442,73.0
3443,68.0
3444,69.0
3445,65.0
3446,60.0
3447,58.0
3448,56.0
3449,55.0
3450,56.0
3451,55.0
3452,55.0
3453,55.0
3454,55.0
3455,54.0
3456,50.0
3457,50.0
3458,49.0
3459,52.0
3460,47.0
3461,45.0
3462,56.0
3463,54.0
3464,58.0
3465,59.0
3466,78.0
3467,88.0
3468,88.0
3469,87.0
3470,69.0
3471,46.0
3472,45.0
3473,45.0
3474,46.0
3475,47.0
3476,40.0
3477,34.0
3478,34.0
3479,34.0
3480,37.0
3481,44.0
3482,51.0
3483,55.0
3484,60.0
3485,60.0
3486,61.0
3487,67.0
3488,72.0
3489,69.0
3490,65.0
3491,61.0
3492,56.0
3493,50.0
3494,48.0
3495,46.0
3496,46.0
3497,48.0
3498,56.0
3499,59.0
3500,59.0
3501,56.0
3502,51.0
3503,53.0
3504,54.0
3505,53.0
3506,51.0
3507,51.0
3508,54.0
3509,54.0
3510,54.0
3511,51.0
3512,38.92593020568523
3513,38.92593020568523
3514,38.92593020568523
3515,49.0
3516,49.0
3517,54.0
3518,60.0
3519,51.0
3520,57.0
3521,47.0
3522,42.0
3523,37.0
3524,44.0
3525,45.0
3526,43.0
3527,43.0
3528,41.0
3529,43.0
3530,46.0
3531,41.0
3532,44.0
3533,50.0
3534,64.0
3535,65.0
3536,75.0
3537,69.0
3538,69.0
3539,55.0
3540,63.0
3541,61.0
3542,63.0
3543,51.0
3544,53.0
3545,53.0
3546,53.0
3547,58.0
3548,60.0
3549,61.0
3550,60.0
3551,55.0
3552,56.0
3553,49.0
3554,54.0
3555,48.0
3556,48.0
3557,46.0
3558,46.0
3559,51.0
3560,46.0
3561,36.0
3562,27.0
3563,21.0
3564,21.0
3565,21.0
3566,20.0
3567,22.0
3568,28.0
3569,27.0
3570,32.0
3571,31.0
3572,28.0
3573,28.0
3574,22.0
3575,19.0
3576,17.0
3577,17.0
3578,19.0
3579,16.0
3580,19.0
3581,18.0
3582,15.0
3583,18.0
3584,19.0
3585,12.0
3586,15.0
3587,12.0
3588,16.0
3589,14.0
3590,19.0
3591,18.0
3592,24.0
3593,26.0
3594,26.0
3595,21.0
3596,21.0
3597,19.0
3598,19.0
3599,16.0
3600,19.0
3601,17.0
3602,18.0
3603,17.0
3604,20.0
3605,20.0
3606,16.0
3607,17.0
3608,22.0
3609,23.0
3610,22.0
3611,23.0
3612,25.0
3613,25.0
3614,27.0
3615,27.0
3616,33.0
3617,30.0
3618,34.0
3619,33.0
3620,33.0
3621,33.0
3622,32.0
3623,32.0
3624,35.0
3625,38.0
3626,32.0
3627,25.0
3628,24.0
3629,19.0
3630,14.0
3631,11.0
3632,9.0
3633,7.0
3634,9.0
3635,5.0
3636,8.0
3637,7.0
3638,4.0
3639,5.0
3640,7.0
3641,3.0
3642,6.0
3643,3.0
3644,3.0
3645,4.0
3646,4.0
3647,3.0
3648,3.0
3649,3.0
3650,5.0
3651,3.0
3652,5.0
3653,3.0
3654,5.0
3655,10.0
3656,8.0
3657,7.0
3658,10.0
3659,9.0
3660,11.0
3661,17.0
3662,23.0
3663,13.0
3664,18.0
3665,15.0
3666,16.0
3667,22.0
3668,27.0
3669,25.0
3670,30.0
3671,31.0
3672,31.0
3673,21.0
3674,22.0
3675,20.0
3676,21.0
3677,22.0
3678,26.0
3679,32.0
3680,40.0
3681,44.0
3682,47.0
3683,48.0
3684,51.0
3685,48.0
3686,51.0
3687,43.0
3688,50.0
3689,52.0
3690,61.0
3691,56.0
3692,59.0
3693,56.0
3694,60.0
3695,54.0
3696,52.0
3697,50.0
3698,51.0
3699,50.0
3700,49.0
3701,48.0
3702,48.0
3703,49.0
3704,55.0
3705,57.0
3706,51.0
3707,54.0
3708,54.0
3709,42.0
3710,34.0
3711,31.0
3712,35.0
3713,37.0
3714,39.0
3715,41.0
3716,41.0
3717,40.0
3718,42.0
3719,38.0
3720,40.0
3721,37.0
3722,38.0
3723,39.0
3724,43.0
3725,54.0
3726,61.0
3727,61.0
3728,62.0
3729,54.0
3730,60.0
3731,61.0
3732,44.0
3733,31.0
3734,34.0
3735,28.0
3736,35.0
3737,35.0
3738,36.0
3739,33.0
3740,33.0
3741,29.0
3742,33.0
3743,33.0
3744,36.0
3745,36.0
3746,36.0
3747,39.0
3748,41.0
3749,46.0
3750,51.0
3751,49.0
3752,41.0
3753,26.0
3754,27.0
3755,31.0
3756,33.0
3757,27.0
3758,24.0
3759,22.0
3760,20.0
3761,19.0
3762,14.0
3763,12.0
3764,13.0
3765,11.0
3766,14.0
3767,11.0
3768,12.0
3769,12.0
3770,9.0
3771,10.0
3772,9.0
3773,10.0
3774,9.0
3775,10.0
3776,12.0
3777,19.0
3778,27.0
3779,31.0
3780,34.0
3781,31.0
3782,37.0
3783,38.0
3784,41.0
3785,37.0
3786,36.0
3787,35.0
3788,38.0
3789,31.0
3790,30.0
3791,33.0
3792,35.0
3793,34.0
3794,37.0
3795,37.0
3796,42.0
3797,44.0
3798,49.0
3799,46.0
3800,44.0
3801,49.0
3802,49.0
3803,43.0
3804,44.0
3805,44.0
3806,56.0
3807,53.0
3808,45.0
3809,36.0
3810,31.0
3811,34.0
3812,36.0
3813,34.0
3814,36.0
3815,35.0
3816,36.0
3817,33.0
3818,35.0
3819,35.0
3820,37.0
3821,37.0
3822,44.0
3823,49.0
3824,60.0
3825,51.0
3826,38.92593020568523
3827,38.92593020568523
3828,38.92593020568523
3829,67.0
3830,70.0
3831,53.0
3832,42.0
3833,46.0
3834,55.0
3835,55.0
3836,57.0
3837,62.0
3838,65.0
3839,70.0
3840,75.0
3841,68.0
3842,66.0
3843,60.0
3844,62.0
3845,67.0
3846,78.0
3847,83.0
3848,90.0
3849,90.0
3850,92.0
3851,84.0
3852,83.0
3853,76.0
3854,87.0
3855,96.0
3856,133.0
3857,148.0
3858,158.0
3859,146.0
3860,143.0
3861,131.0
3862,135.0
3863,134.0
3864,133.0
3865,129.0
3866,129.0
3867,124.0
3868,127.0
3869,131.0
3870,134.0
3871,145.0
3872,169.0
3873,160.0
3874,126.0
3875,103.0
3876,113.0
3877,109.0
3878,108.0
3879,116.0
3880,120.0
3881,121.0
3882,94.0
3883,70.0
3884,67.0
3885,65.0
3886,72.0
3887,73.0
3888,77.0
3889,77.0
3890,77.0
3891,78.0
3892,93.0
3893,90.0
3894,100.0
3895,100.0
3896,113.0
3897,112.0
3898,114.0
3899,86.0
3900,51.0
3901,34.0
3902,24.0
3903,23.0
3904,27.0
3905,27.0
3906,25.0
3907,27.0
3908,37.0
3909,41.0
3910,45.0
3911,41.0
3912,40.0
3913,40.0
3914,43.0
3915,45.0
3916,50.0
3917,55.0
3918,62.0
3919,59.0
3920,62.0
3921,64.0
3922,68.0
3923,67.0
3924,60.0
3925,58.0
3926,61.0
3927,60.0
3928,56.0
3929,56.0
3930,63.0
3931,61.0
3932,63.0
3933,66.0
3934,72.0
3935,77.0
3936,86.0
3937,85.0
3938,93.0
3939,92.0
3940,95.0
3941,97.0
3942,99.0
3943,100.0
3944,102.0
3945,100.0
3946,99.0
3947,90.0
3948,85.0
3949,70.0
3950,68.0
3951,66.0
3952,73.0
3953,61.0
3954,60.0
3955,64.0
3956,71.0
3957,80.0
3958,99.0
3959,96.0
3960,90.0
3961,90.0
3962,103.0
3963,102.0
3964,96.0
3965,92.0
3966,100.0
3967,114.0
3968,114.0
3969,110.0
3970,110.0
3971,98.0
3972,95.0
3973,93.0
3974,93.0
3975,74.0
3976,76.0
3977,64.0
3978,56.0
3979,52.0
3980,54.0
3981,58.0
3982,36.0
3983,13.0
3984,25.0
3985,38.0
3986,61.0
3987,40.0
3988,39.0
3989,66.0
3990,104.0
3991,117.0
3992,131.0
3993,135.0
3994,131.0
3995,134.0
3996,151.0
3997,129.0
3998,116.0
3999,108.0
4000,107.0
4001,106.0
4002,112.0
4003,112.0
4004,110.0
4005,105.0
4006,112.0
4007,112.0
4008,115.0
4009,107.0
4010,105.0
4011,102.0
4012,103.0
4013,100.0
4014,103.0
4015,105.0
4016,107.0
4017,103.0
4018,100.0
4019,95.0
4020,91.0
4021,90.0
4022,89.0
4023,96.0
4024,108.0
4025,97.0
4026,94.0
4027,86.0
4028,78.0
4029,75.0
4030,77.0
4031,74.0
4032,72.0
4033,71.0
4034,74.0
4035,73.0
4036,74.0
4037,74.0
4038,85.0
4039,90.0
4040,104.0
4041,102.0
4042,107.0
4043,107.0
4044,110.0
4045,110.0
4046,117.0
4047,129.0
4048,150.0
4049,135.0
4050,138.0
4051,124.0
4052,125.0
4053,115.0
4054,116.0
4055,89.0
4056,71.0
4057,62.0
4058,70.0
4059,68.0
4060,53.0
4061,51.0
4062,50.0
4063,59.0
4064,62.0
4065,62.0
4066,62.0
4067,60.0
4068,64.0
4069,63.0
4070,64.0
4071,62.0
4072,70.0
4073,81.0
4074,77.0
4075,73.0
4076,71.0
4077,41.0
4078,40.0
4079,39.0
4080,38.0
4081,36.0
4082,35.0
4083,33.0
4084,33.0
4085,32.0
4086,30.0
4087,26.0
4088,27.0
4089,22.0
4090,24.0
4091,18.0
4092,16.0
4093,15.0
4094,15.0
4095,15.0
4096,20.0
4097,25.0
4098,28.0
4099,28.0
4100,40.0
4101,51.0
4102,55.0
4103,48.0
4104,51.0
4105,52.0
4106,53.0
4107,56.0
4108,58.0
4109,56.0
4110,53.0
4111,52.0
4112,55.0
4113,55.0
4114,46.0
4115,35.0
4116,37.0
4117,30.0
4118,29.0
