,PM10_1
527,43.0
528,40.0
529,41.0
530,39.0
531,38.0
532,38.0
533,39.0
534,41.0
535,39.0
536,36.0
537,39.0
538,42.0
539,42.0
540,37.0
541,38.0
542,40.0
543,36.0
544,31.0
545,33.0
546,33.0
547,31.0
548,25.0
549,24.0
550,30.0
551,31.0
552,34.0
553,34.0
554,31.0
555,31.0
556,29.0
557,32.0
558,27.0
559,27.0
560,28.0
561,34.0
562,33.0
563,29.0
564,23.0
565,24.0
566,24.0
567,31.0
568,31.0
569,23.0
570,23.0
571,23.0
572,18.0
573,19.0
574,24.0
575,29.0
576,27.0
577,27.0
578,24.0
579,23.0
580,24.0
581,24.0
582,24.0
583,25.0
584,25.0
585,31.0
586,34.0
587,27.0
588,23.0
589,26.0
590,22.0
591,24.0
592,23.0
593,28.0
594,34.0
595,37.0
596,32.0
597,31.0
598,33.0
599,35.0
600,31.0
601,31.0
602,29.0
603,29.0
604,28.0
605,30.0
606,29.0
607,34.0
608,39.0
609,39.0
610,38.92593020568523
611,38.92593020568523
612,44.0
613,53.0
614,63.0
615,58.0
616,64.0
617,77.0
618,76.0
619,65.0
620,58.0
621,51.0
622,47.0
623,57.0
624,64.0
625,64.0
626,58.0
627,60.0
628,59.0
629,68.0
630,76.0
631,78.0
632,80.0
633,66.0
634,55.0
635,44.0
636,35.0
637,34.0
638,35.0
639,36.0
640,33.0
641,36.0
642,42.0
643,39.0
644,33.0
645,32.0
646,29.0
647,26.0
648,22.0
649,19.0
650,18.0
651,17.0
652,19.0
653,21.0
654,25.0
655,30.0
656,37.0
657,41.0
658,35.0
659,31.0
660,23.0
661,22.0
662,22.0
663,28.0
664,25.0
665,37.0
666,45.0
667,51.0
668,36.0
669,31.0
670,25.0
671,22.0
672,19.0
673,19.0
674,17.0
675,17.0
676,15.0
677,16.0
678,16.0
679,16.0
680,18.0
681,14.0
682,18.0
683,20.0
684,17.0
685,20.0
686,20.0
687,26.0
688,26.0
689,29.0
690,42.0
691,44.0
692,36.0
693,35.0
694,33.0
695,29.0
696,24.0
697,20.0
698,18.0
699,16.0
700,13.0
701,14.0
702,12.0
703,12.0
704,16.0
705,19.0
706,18.0
707,21.0
708,21.0
709,19.0
710,19.0
711,23.0
712,26.0
713,30.0
714,33.0
715,35.0
716,34.0
717,36.0
718,34.0
719,33.0
720,29.0
721,29.0
722,27.0
723,25.0
724,24.0
725,25.0
726,23.0
727,25.0
728,26.0
729,32.0
730,33.0
731,33.0
732,32.0
733,32.0
734,28.0
735,26.0
736,26.0
737,29.0
738,31.0
739,33.0
740,32.0
741,26.0
742,30.0
743,27.0
744,30.0
745,39.0
746,36.0
747,33.0
748,31.0
749,35.0
750,31.0
751,29.0
752,32.0
753,40.0
754,38.0
755,35.0
756,37.0
757,34.0
758,30.0
759,30.0
760,27.0
761,29.0
762,31.0
763,33.0
764,33.0
765,31.0
766,29.0
767,34.0
768,32.0
769,31.0
770,32.0
771,35.0
772,35.0
773,35.0
774,39.0
775,43.0
776,48.0
777,55.0
778,46.0
779,35.0
780,35.0
781,38.0
782,41.0
783,38.0
784,34.0
785,42.0
786,38.0
787,34.0
788,32.0
789,30.0
790,30.0
791,31.0
792,30.0
793,30.0
794,30.0
795,32.0
796,32.0
797,37.0
798,37.0
799,40.0
800,47.0
801,49.0
802,34.0
803,35.0
804,24.0
805,28.0
806,40.0
807,48.0
808,57.0
809,60.0
810,61.0
811,59.0
812,56.0
813,56.0
814,54.0
815,57.0
816,36.0
817,24.0
818,36.0
819,47.0
820,52.0
821,51.0
822,53.0
823,57.0
824,55.0
825,53.0
826,49.0
827,44.0
828,45.0
829,57.0
830,57.0
831,55.0
832,59.0
833,68.0
834,73.0
835,72.0
836,71.0
837,72.0
838,67.0
839,65.0
840,66.0
841,62.0
842,58.0
843,61.0
844,62.0
845,61.0
846,63.0
847,69.0
848,70.0
849,71.0
850,70.0
851,67.0
852,55.0
853,46.0
854,41.0
855,45.0
856,45.0
857,60.0
858,67.0
859,74.0
860,74.0
861,70.0
862,65.0
863,69.0
864,67.0
865,67.0
866,65.0
867,60.0
868,61.0
869,65.0
870,62.0
871,67.0
872,66.0
873,53.0
874,48.0
875,44.0
876,42.0
877,43.0
878,45.0
879,45.0
880,56.0
881,64.0
882,71.0
883,68.0
884,66.0
885,66.0
886,61.0
887,64.0
888,57.0
889,52.0
890,47.0
891,46.0
892,40.0
893,39.0
894,43.0
895,42.0
896,40.0
897,37.0
898,30.0
899,27.0
900,18.0
901,20.0
902,20.0
903,19.0
904,20.0
905,23.0
906,28.0
907,26.0
908,19.0
909,16.0
910,11.0
911,11.0
912,9.0
913,12.0
914,10.0
915,10.0
916,12.0
917,18.0
918,14.0
919,10.0
920,6.0
921,8.0
922,6.0
923,9.0
924,12.0
925,38.92593020568523
926,38.92593020568523
927,7.0
928,8.0
929,7.0
930,8.0
931,12.0
932,7.0
933,7.0
934,8.0
935,9.0
936,6.0
937,5.0
938,4.0
939,8.0
940,7.0
941,8.0
942,9.0
943,9.0
944,8.0
945,7.0
946,10.0
947,15.0
948,9.0
949,9.0
950,8.0
951,10.0
952,9.0
953,13.0
954,17.0
955,14.0
956,11.0
957,12.0
958,8.0
959,8.0
960,12.0
961,13.0
962,14.0
963,16.0
964,14.0
965,15.0
966,14.0
967,12.0
968,10.0
969,14.0
970,11.0
971,17.0
972,15.0
973,12.0
974,9.0
975,15.0
976,12.0
977,14.0
978,12.0
979,13.0
980,11.0
981,14.0
982,15.0
983,14.0
984,14.0
985,16.0
986,10.0
987,10.0
988,11.0
989,9.0
990,10.0
991,11.0
992,16.0
993,18.0
994,20.0
995,18.0
996,29.0
997,27.0
998,20.0
999,24.0
1000,26.0
1001,23.0
1002,19.0
1003,19.0
1004,17.0
1005,18.0
1006,17.0
1007,19.0
1008,16.0
1009,18.0
1010,17.0
1011,18.0
1012,13.0
1013,14.0
1014,13.0
1015,10.0
1016,15.0
1017,19.0
1018,20.0
1019,20.0
1020,19.0
1021,25.0
1022,20.0
1023,21.0
1024,19.0
1025,22.0
1026,23.0
1027,24.0
1028,19.0
1029,20.0
1030,16.0
1031,15.0
1032,16.0
1033,15.0
1034,12.0
1035,15.0
1036,19.0
1037,18.0
1038,19.0
1039,19.0
1040,24.0
1041,27.0
1042,28.0
1043,27.0
1044,26.0
1045,29.0
1046,26.0
1047,25.0
1048,25.0
1049,32.0
1050,29.0
1051,40.0
1052,41.0
1053,39.0
1054,36.0
1055,33.0
1056,34.0
1057,34.0
1058,33.0
1059,32.0
1060,31.0
1061,33.0
1062,32.0
1063,34.0
1064,34.0
1065,39.0
1066,40.0
1067,51.0
1068,54.0
1069,66.0
1070,72.0
1071,77.0
1072,79.0
1073,79.0
1074,82.0
1075,79.0
1076,76.0
1077,79.0
1078,73.0
1079,69.0
1080,65.0
1081,64.0
1082,62.0
1083,68.0
1084,67.0
1085,69.0
1086,65.0
1087,67.0
1088,77.0
1089,82.0
1090,73.0
1091,48.0
1092,37.0
1093,37.0
1094,50.0
1095,59.0
1096,57.0
1097,56.0
1098,51.0
1099,52.0
1100,50.0
1101,49.0
1102,46.0
1103,46.0
1104,42.0
1105,43.0
1106,43.0
1107,46.0
1108,49.0
1109,48.0
1110,48.0
1111,49.0
1112,46.0
1113,51.0
1114,44.0
1115,50.0
1116,53.0
1117,60.0
1118,59.0
1119,63.0
1120,53.0
1121,53.0
1122,52.0
1123,48.0
1124,45.0
1125,42.0
1126,37.0
1127,32.0
1128,27.0
1129,26.0
1130,24.0
1131,27.0
1132,30.0
1133,38.0
1134,39.0
1135,39.0
1136,45.0
1137,44.0
1138,43.0
1139,42.0
1140,40.0
1141,41.0
1142,34.0
1143,34.0
1144,33.0
1145,34.0
1146,37.0
1147,38.0
1148,36.0
1149,35.0
1150,39.0
1151,40.0
1152,41.0
1153,41.0
1154,34.0
1155,36.0
1156,36.0
1157,39.0
1158,42.0
1159,47.0
1160,52.0
1161,58.0
1162,61.0
1163,64.0
1164,72.0
1165,82.0
1166,95.0
1167,102.0
1168,86.0
1169,79.0
1170,79.0
1171,74.0
1172,64.0
1173,61.0
1174,59.0
1175,58.0
1176,52.0
1177,51.0
1178,51.0
1179,55.0
1180,55.0
1181,59.0
1182,61.0
1183,68.0
1184,71.0
1185,81.0
1186,85.0
1187,38.92593020568523
1188,88.0
1189,117.0
1190,110.0
1191,112.0
1192,133.0
1193,154.0
1194,176.0
1195,190.0
1196,194.0
1197,204.0
1198,176.0
1199,168.0
1200,153.0
1201,155.0
1202,146.0
1203,150.0
1204,137.0
